City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tasiilaq,65.6145,-37.6368,24.96,95,100,8.3,GL,1680219602
84,tongliao,43.6125,122.2653,56.01,30,0,9.06,CN,1680219381
85,agirish,61.9247,63.0231,19.56,90,74,9.57,RU,1680219381
86,kuzhithurai,8.3167,77.1833,83.88,95,28,3.94,IN,1680219381
87,vaini,-21.2,-175.2,84.36,74,20,8.05,TO,1680219602
88,coquimbo,-29.9533,-71.3436,64.13,77,0,6.91,CL,1680219304
89,porto walter,-8.2686,-72.7439,73.62,97,100,1.88,BR,1680219382
90,sambava,-14.2667,50.1667,77.4,87,67,10.71,MG,1680219382
91,marand,38.4329,45.7749,45.61,59,68,9.01,IR,1680219382
92,saldanha,-33.0117,17.9442,60.85,83,26,18.9,ZA,1680219603
93,lugovoy,42.9472,72.7644,50.59,79,80,4.9,KZ,1680219383
94,ostrovnoy,68.0531,39.5131,13.19,92,42,13.89,RU,1680219383
95,filingue,14.3521,3.3168,81.41,11,47,11.97,NE,1680219383
96,shimoda,34.6667,138.95,59.36,69,100,1.45,JP,1680219384
97,rocky mountain house,52.3668,-114.9188,30.31,74,89,12.66,CA,1680219384
98,sovetsk,55.0839,21.8785,42.3,96,100,10.27,RU,1680219384
99,auki,-8.7676,160.7034,83.48,73,82,2.86,SB,1680219605
100,hasaki,35.7333,140.8333,59.4,68,98,11.43,JP,1680219606
101,gushikawa,26.3544,127.8686,71.19,88,100,10.36,JP,1680219385
102,lompoc,34.6391,-120.4579,58.78,71,40,14.97,US,1680219513
103,hami,42.8,93.45,50.49,23,26,7.11,CN,1680219385
104,longyearbyen,78.2186,15.6401,22.84,80,75,1.14,SJ,1680219607
105,mahanoro,-19.9,48.8,74.3,97,96,0.29,MG,1680219385
106,moree,-29.4667,149.85,68.94,36,100,8.97,AU,1680219386
107,belmonte,-15.8631,-38.8828,72.32,86,0,1.68,BR,1680219386
108,newcastle,-32.9272,151.7765,69.1,55,0,18.41,AU,1680219386
109,udachnyy,66.4167,112.4,-8.55,76,100,8.9,RU,1680219387
110,lucapa,-8.4192,20.7447,64.44,96,100,3.27,AO,1680219387
111,oussouye,12.485,-16.5469,75.38,78,1,5.48,SN,1680219387
112,hilo,19.7297,-155.09,78.24,88,100,11.5,US,1680219561
113,mareeba,-17.0,145.4333,81.48,79,58,4.16,AU,1680219166
114,touros,-5.1989,-35.4608,78.93,81,80,11.79,BR,1680219245
115,ixtapa,20.7,-105.2,76.23,57,100,9.22,MX,1680219388
116,puerto ayora,-0.7393,-90.3518,77.56,97,65,5.64,EC,1680219388
117,xining,36.6167,101.7667,38.19,59,1,3.89,CN,1680219388
118,surgut,61.25,73.4167,3.09,84,0,4.47,RU,1680219388
119,meulaboh,4.1363,96.1285,73.92,91,92,3.13,ID,1680219904
120,chifeng,42.2683,118.9636,54.36,28,0,5.5,CN,1680219389
121,flinders,-34.5833,150.8552,71.06,57,0,5.99,AU,1680219905
122,ponta delgada,37.7333,-25.6667,61.52,100,75,3.44,PT,1680219389
123,luau,-10.7073,22.2247,64.33,98,100,1.7,AO,1680219389
124,kamina,-8.7386,24.9906,63.66,98,100,4.79,CD,1680219389
125,iqaluit,63.7506,-68.5145,-0.31,84,40,0.0,CA,1680219905
126,saint george,37.1041,-113.5841,47.43,59,40,5.99,US,1680219314
127,bonthe,7.5264,-12.505,78.42,80,61,5.66,SL,1680219390
128,georgetown,5.4112,100.3354,78.73,100,20,2.3,MY,1680219628
129,ambon,-3.6954,128.1814,80.74,89,40,4.61,ID,1680219390
130,bluff,-46.6,168.3333,55.8,75,30,5.82,NZ,1680219905
131,qui nhon,13.7667,109.2333,76.42,86,87,4.59,VN,1680219391
132,norman wells,65.282,-126.8329,19.44,58,20,17.27,CA,1680219391
133,peniche,39.3558,-9.3811,62.11,94,100,12.15,PT,1680219906
134,alto paraguai,-14.5136,-56.4825,75.22,75,56,2.55,BR,1680219391
135,vestmannaeyjar,63.4427,-20.2734,41.31,87,100,11.01,IS,1680219906
136,souillac,-20.5167,57.5167,80.98,83,40,11.5,MU,1680219906
137,mahebourg,-20.4081,57.7,80.89,83,40,11.5,MU,1680219738
138,prince rupert,54.3161,-130.3201,40.69,93,100,6.91,CA,1680219303
139,nanortalik,60.1432,-45.2371,20.79,84,4,3.6,GL,1680219756
140,ulladulla,-35.35,150.4667,70.66,40,0,3.29,AU,1680219393
141,enid,36.3956,-97.8784,60.96,94,100,21.85,US,1680219393
142,chinsali,-10.5414,32.0816,62.46,97,100,2.39,ZM,1680219251
143,coihaique,-45.5752,-72.0662,45.21,70,20,0.0,CL,1680219762
144,puerto colombia,10.9878,-74.9547,78.89,84,2,34.52,CO,1680219394
145,mwene-ditu,-7.0,23.45,65.44,99,100,4.23,CD,1680219394
146,alofi,-19.0595,-169.9187,84.09,79,40,10.36,NU,1680219394
147,hovd,48.0056,91.6419,36.46,24,0,15.01,MN,1680219907
148,goryachiy klyuch,44.6308,39.13,35.22,71,100,9.42,RU,1680219394
149,jamestown,42.097,-79.2353,37.04,48,0,5.75,US,1680219722
150,la ronge,55.1001,-105.2842,26.85,36,75,5.75,CA,1680219395
151,tual,-5.6667,132.75,83.16,74,100,7.81,ID,1680219395
152,elizabeth city,36.2946,-76.2511,50.02,66,0,9.22,US,1680219395
153,ratnagiri,16.9833,73.3,73.76,82,9,5.88,IN,1680219395
154,tchibanga,-2.85,11.0333,72.1,96,100,2.59,GA,1680219396
155,port lincoln,-34.7333,135.8667,65.55,60,47,8.52,AU,1680219396
156,ribeira grande,38.5167,-28.7,59.77,89,100,3.0,PT,1680219396
157,pacific grove,36.6177,-121.9166,57.24,68,40,12.66,US,1680219125
158,shingu,33.7333,135.9833,60.31,58,100,4.05,JP,1680219396
159,avera,33.194,-82.5271,69.85,54,0,4.76,US,1680219397
160,meadow lake,34.8014,-106.5436,67.35,12,18,29.95,US,1680219397
161,tulun,54.5611,100.5792,19.18,84,100,13.18,RU,1680219397
162,yeppoon,-23.1333,150.7333,78.58,60,3,5.39,AU,1680219398
163,codrington,-38.2667,141.9667,60.17,73,100,9.1,AU,1680219398
164,ponta do sol,32.6667,-17.1,73.13,27,10,3.91,PT,1680219233
165,tuatapere,-46.1333,167.6833,63.81,46,52,3.51,NZ,1680219909
166,jensen beach,27.2545,-80.2298,76.08,64,40,10.36,US,1680219398
167,jatara,25.0167,79.05,71.4,59,98,13.38,IN,1680219399
168,san patricio,28.017,-97.5169,78.75,84,100,18.68,US,1680219399
169,morrinhos,-17.7311,-49.0994,68.54,65,30,3.69,BR,1680219399
170,kavieng,-2.5744,150.7967,82.51,72,99,5.91,PG,1680219910
171,cabo san lucas,22.8909,-109.9124,87.1,52,20,3.44,MX,1680219276
172,torbay,47.6666,-52.7314,31.28,85,20,5.75,CA,1680219910
173,yulara,-25.2406,130.9889,69.51,48,90,16.53,AU,1680219746
174,marsh harbour,26.5412,-77.0636,72.99,63,17,19.46,BS,1680219342
175,chuy,-33.6971,-53.4616,67.69,90,100,8.34,UY,1680219911
176,cape town,-33.9258,18.4232,62.91,76,20,11.99,ZA,1680219325
177,khatanga,71.9667,102.5,-11.92,97,99,10.09,RU,1680219911
178,balotra,25.8333,72.2333,73.85,49,86,4.59,IN,1680219401
179,faanui,-16.4833,-151.75,82.36,73,97,8.7,PF,1680219911
180,arcos,-20.2819,-45.5394,71.58,73,64,3.31,BR,1680219402
181,northam,51.0333,-4.2167,51.62,95,100,29.06,GB,1680219402
182,babu,24.4167,111.5167,62.22,93,100,1.54,CN,1680219402
183,talnakh,69.4865,88.3972,-20.79,98,71,4.21,RU,1680219911
184,fukue,32.6881,128.8419,59.36,67,0,10.36,JP,1680219402
185,maniitsoq,65.4167,-52.9,10.36,70,0,8.39,GL,1680219403
186,bambous virieux,-20.3428,57.7575,80.85,83,40,11.5,MU,1680219403
187,barrow,71.2906,-156.7887,6.82,78,0,6.91,US,1680219912
188,constitucion,-35.3333,-72.4167,58.75,56,63,12.15,CL,1680219912
189,carnarvon,-24.8667,113.6333,74.23,70,75,5.19,AU,1680219722
190,whitehaven,54.549,-3.5841,49.66,84,98,4.0,GB,1680219112
191,hokitika,-42.7167,170.9667,61.25,68,1,11.1,NZ,1680219405
192,ermelo,-26.5333,29.9833,54.81,94,66,7.94,ZA,1680219405
193,itarema,-2.9248,-39.9167,82.36,75,28,14.81,BR,1680219913
194,shubarkuduk,49.1447,56.4872,50.59,67,100,25.14,KZ,1680219406
195,bata,1.8639,9.7658,81.05,78,61,8.79,GQ,1680219406
196,qaanaaq,77.484,-69.3632,-12.01,62,22,5.57,GL,1680219913
197,portales,34.1862,-103.3344,78.33,10,10,29.8,US,1680219406
198,pitimbu,-7.4706,-34.8086,77.59,74,20,9.62,BR,1680219407
199,kruisfontein,-34.0033,24.7314,58.89,92,16,4.81,ZA,1680219914
200,grindavik,63.8424,-22.4338,40.95,93,75,14.97,IS,1680219914
201,haines junction,60.7522,-137.5108,30.15,69,100,2.3,CA,1680219407
202,the valley,18.217,-63.0578,78.94,69,20,9.22,AI,1680219407
203,lebu,-37.6167,-73.65,54.88,78,38,17.02,CL,1680219916
204,eyl,7.9803,49.8164,79.07,77,9,6.42,SO,1680219408
205,mackenzie,55.2999,-123.1698,46.62,36,0,8.05,CA,1680219408
206,los llanos de aridane,28.6585,-17.9182,76.75,18,0,12.66,ES,1680219408
207,goderich,43.7501,-81.7165,37.9,44,38,10.36,CA,1680219916
208,half moon bay,37.4636,-122.4286,58.59,67,75,17.27,US,1680219409
209,gustrow,53.7972,12.1734,50.32,93,50,8.05,DE,1680219409
